"Country","Score","Electoral","Functio­ning","Politicalpartici­pation","Politicalculture","Civilliberties","Regimetype","Region"
"Madagascar","5.64","7.92","3.57","6.11","5.63","5.00","Hybrid regime","Sub-Saharan Africa"
"Armenia","5.54","7.50","5.36","6.11","3.13","5.59","Hybrid regime","Eastern Europe"
"Malawi","5.50","6.08","4.29","5.00","6.25","5.88","Hybrid regime","Sub-Saharan Africa"
"Liberia","5.45","7.42","3.07","5.56","5.63","5.59","Hybrid regime","Sub-Saharan Africa"
"Georgia","5.42","7.83","3.21","6.11","4.38","5.59","Hybrid regime","Eastern Europe"
"Honduras","5.42","7.83","4.29","4.44","4.38","6.18","Hybrid regime","Latin America"
"Bhutan","5.30","8.75","6.79","2.78","4.38","3.82","Hybrid regime","Asia & Oceania"
"Nepal","5.28","4.83","5.36","5.00","5.63","5.59","Hybrid regime","Asia & Oceania"
"Guatemala","5.26","6.92","4.64","3.89","4.38","6.47","Hybrid regime","Latin America"
"Kenya","5.18","3.50","5.71","6.67","5.63","4.41","Hybrid regime","Sub-Saharan Africa"
"Tanzania","5.16","5.75","5.00","5.00","5.63","4.41","Hybrid regime","Sub-Saharan Africa"
"Morocco","5.10","5.25","4.64","5.56","5.63","4.41","Hybrid regime","Middle East & North Africa"
"Benin","5.09","4.67","5.71","4.44","5.63","5.00","Hybrid regime","Sub-Saharan Africa"
"Zambia","5.09","4.75","2.93","4.44","6.88","6.47","Hybrid regime","Sub-Saharan Africa"
"Uganda","5.02","4.33","3.57","4.44","6.88","5.88","Hybrid regime","Sub-Saharan Africa"
"Mali","4.92","6.42","3.07","3.89","5.63","5.59","Hybrid regime","Sub-Saharan Africa"
"Kyrgyzstan","4.89","6.08","2.93","6.67","3.75","5.00","Hybrid regime","Eastern Europe"
"Bosnia and Herzegovina","4.86","6.17","2.93","5.56","3.75","5.88","Hybrid regime","Eastern Europe"
"Sierra Leone","4.86","6.58","2.86","3.33","6.25","5.29","Hybrid regime","Sub-Saharan Africa"
"Bolivia","4.84","4.75","3.93","5.00","3.75","6.76","Hybrid regime","Latin America"
"Haiti","4.57","4.75","2.07","3.89","6.25","5.88","Hybrid regime","Latin America"
"Lebanon","4.36","3.92","1.50","6.67","5.00","4.71","Hybrid regime","Middle East & North Africa"
"Gambia","4.33","4.00","4.29","3.33","5.63","4.41","Hybrid regime","Sub-Saharan Africa"
"Pakistan","4.25","6.08","5.71","2.22","2.50","4.71","Hybrid regime","Asia & Oceania"
"Nigeria","4.12","5.17","3.93","3.33","3.75","4.41","Hybrid regime","Sub-Saharan Africa"
"Turkey","4.09","3.08","5.00","5.00","5.00","2.35","Hybrid regime","Western Europe"
"Ivory Coast","4.05","4.33","2.86","3.33","5.63","4.12","Hybrid regime","Sub-Saharan Africa"
"Burkina Faso","4.04","3.92","2.71","4.44","5.00","4.12","Hybrid regime","Sub-Saharan Africa"
"Algeria","4.01","3.08","2.86","5.00","5.00","4.12","Hybrid regime","Middle East & North Africa"
"Jordan","3.93","3.58","4.29","3.89","4.38","3.53","Authoritarian","Middle East & North Africa"
"Kuwait","3.93","3.58","4.29","3.89","4.38","3.53","Authoritarian","Middle East & North Africa"
"Mauritania","3.92","3.50","3.57","5.00","3.13","4.41","Authoritarian","Sub-Saharan Africa"
"Palestine","3.89","3.33","0.14","7.78","4.38","3.82","Authoritarian","Middle East & North Africa"
"Iraq","3.74","5.25","0.00","6.67","5.00","1.76","Authoritarian","Middle East & North Africa"
"Angola","3.72","2.25","2.86","5.56","5.00","2.94","Authoritarian","Sub-Saharan Africa"
"Mozambique","3.65","2.58","2.14","5.00","5.00","3.53","Authoritarian","Sub-Saharan Africa"
"Gabon","3.61","2.58","2.21","4.44","5.00","3.82","Authoritarian","Sub-Saharan Africa"
"Myanmar","3.55","3.08","3.93","2.78","5.63","2.35","Authoritarian","Asia & Oceania"
"Nicaragua","3.55","1.25","2.86","3.89","5.63","4.12","Authoritarian","Latin America"
"Cambodia","3.53","0.83","4.64","3.33","5.63","3.24","Authoritarian","Asia & Oceania"
"Ethiopia","3.44","0.42","3.57","5.56","5.00","2.65","Authoritarian","Sub-Saharan Africa"
"Togo","3.30","3.17","1.79","3.33","5.00","3.24","Authoritarian","Sub-Saharan Africa"
"Niger","3.29","2.92","1.14","3.33","4.38","4.71","Authoritarian","Sub-Saharan Africa"
"Qatar","3.19","0.00","4.29","2.22","5.63","3.82","Authoritarian","Middle East & North Africa"
"Rwanda","3.16","1.42","4.29","2.78","4.38","2.94","Authoritarian","Sub-Saharan Africa"
"Zimbabwe","3.16","0.00","2.50","4.44","5.63","3.24","Authoritarian","Sub-Saharan Africa"
"Comoros","3.15","2.08","2.21","3.89","3.75","3.82","Authoritarian","Sub-Saharan Africa"
"Eswatini","3.14","0.92","2.86","2.78","5.63","3.53","Authoritarian","Sub-Saharan Africa"
"Guinea","3.14","3.50","0.43","4.44","4.38","2.94","Authoritarian","Sub-Saharan Africa"
"Republic of the Congo","3.11","2.17","2.50","3.89","3.75","3.24","Authoritarian","Sub-Saharan Africa"
"Russia","3.11","2.17","1.79","5.00","2.50","4.12","Authoritarian","Eastern Europe"
"Vietnam","3.08","0.00","3.21","3.89","5.63","2.65","Authoritarian","Asia & Oceania"
"Egypt","3.06","2.67","3.21","3.33","3.75","2.35","Authoritarian","Middle East & North Africa"
"Oman","3.06","0.08","3.93","2.78","4.38","4.12","Authoritarian","Middle East & North Africa"
"Kazakhstan","2.94","0.50","2.14","4.44","4.38","3.24","Authoritarian","Eastern Europe"
"Venezuela","2.88","0.00","1.79","5.00","4.38","3.24","Authoritarian","Latin America"
"Afghanistan","2.85","3.42","0.64","3.89","2.50","3.82","Authoritarian","Asia & Oceania"
"Cameroon","2.85","1.67","2.50","3.33","4.38","2.35","Authoritarian","Sub-Saharan Africa"
"Cuba","2.84","0.00","3.57","3.33","4.38","2.94","Authoritarian","Latin America"
"Djibouti","2.77","0.42","1.29","3.89","5.63","2.65","Authoritarian","Sub-Saharan Africa"
"United Arab Emirates","2.76","0.00","3.93","2.22","5.00","2.65","Authoritarian","Middle East & North Africa"
"Azerbaijan","2.75","0.50","3.21","2.78","3.75","3.53","Authoritarian","Eastern Europe"
"Sudan","2.70","0.00","1.79","5.56","5.00","1.18","Authoritarian","Middle East & North Africa"
"Guinea-Bissau","2.63","4.92","0.00","2.78","3.13","2.35","Authoritarian","Sub-Saharan Africa"
"Bahrain","2.55","0.83","2.71","2.78","4.38","2.06","Authoritarian","Middle East & North Africa"
"Belarus","2.48","0.92","2.00","2.78","4.38","2.35","Authoritarian","Eastern Europe"
"Iran","2.38","0.00","2.86","4.44","3.13","1.47","Authoritarian","Middle East & North Africa"
"Eritrea","2.37","0.00","2.14","1.67","6.88","1.18","Authoritarian","Sub-Saharan Africa"
"China","2.26","0.00","4.29","3.33","2.50","1.18","Authoritarian","Asia & Oceania"
"Burundi","2.15","0.00","0.07","3.33","5.00","2.35","Authoritarian","Sub-Saharan Africa"
"Laos","2.14","0.00","2.86","1.67","5.00","1.18","Authoritarian","Asia & Oceania"
"Libya","2.02","0.00","0.00","2.78","4.38","2.94","Authoritarian","Middle East & North Africa"
"Uzbekistan","2.01","0.08","1.86","2.22","5.00","0.88","Authoritarian","Eastern Europe"
"Yemen","1.95","0.00","0.00","3.89","5.00","0.88","Authoritarian","Middle East & North Africa"
"Saudi Arabia","1.93","0.00","2.86","2.22","3.13","1.47","Authoritarian","Middle East & North Africa"
"Tajikistan","1.93","0.08","0.79","1.67","6.25","0.88","Authoritarian","Eastern Europe"
"Equatorial Guinea","1.92","0.00","0.43","3.33","4.38","1.47","Authoritarian","Sub-Saharan Africa"
"Turkmenistan","1.72","0.00","0.79","2.22","5.00","0.59","Authoritarian","Eastern Europe"
"Chad","1.61","0.00","0.00","1.67","3.75","2.65","Authoritarian","Sub-Saharan Africa"
"Syria","1.43","0.00","0.00","2.78","4.38","0.00","Authoritarian","Middle East & North Africa"
"Central African Republic","1.32","1.25","0.00","1.11","1.88","2.35","Authoritarian","Sub-Saharan Africa"
"Democratic Republic of the Congo","1.13","0.00","0.00","1.67","3.13","0.88","Authoritarian","Sub-Saharan Africa"
"North Korea","1.08","0.00","2.50","1.67","1.25","0.00","Authoritarian","Asia & Oceania"
